Name, URL, Description, Focus, Location, Added
DEF CON, https://defcon.org/, Technical IT-Security Conference, IT-Security; OT-Security, Las Vegas - USA, 2024-01-06
blackhat, https://www.blackhat.com/, Series of Security-Conferences, IT-Security, various; Las Vegas - USA, 2024-01-06
t2.fi, https://t2.fi/, Small IT-Security conference, IT-Security, Helsinki - Finnland, 2024-01-06
TROOPERS, https://troopers.de/, IT-Security conference, IT-Security, Heidelberg - Germany, 2024-01-06 
DuD, https://computas.de/dud-2024/, Data privacy conference, Privacy, Berlin - Germany, 2024-01-06
